1 13306 0.019165 6383726577716297728.000000
1 40075 0.068542 18427313504223494144.000000
1 15882 0.023224 10622848028874113024.000000
1 33995 0.048438 18783410136088051712.000000
1 36784 0.053502 17592485111578755072.000000
2 6 0.000014 0.000000
1 219 0.000344 155663472787456.000000
2 303 0.000784 130306078146560.000000
2 4 0.000011 0.000000
1 286 0.000412 316450338242560.000000
1 52 0.000083 103920.640625
1 273 0.000693 24973299943473152.000000
1 179 0.000362 21267486867456.000000
1 101 0.000186 32141184335872.000000
2 69 0.000200 1843379562348544.000000
1 145 0.000421 896582945865728.000000
1 392 0.000738 40023546100973568.000000
1 100 0.000293 1308141006356480.000000
2 12 0.000017 0.000000
2 5 0.000015 0.000000
1 258 0.000634 70004986217496576.000000
1 34 0.000065 0.000000
1 105 0.000164 29744665985024.000000
1 109 0.000298 240707610993491968.000000
1 135 0.000225 3059224320.000000
1 1691 0.003183 182608609127956480.000000
2 25 0.000073 0.000000
1 289 0.000444 155737369578831872.000000
1 84 0.000137 4221934.000000
1 178 0.000285 19576748244992.000000
1 77 0.000122 0.000000
1 33 0.000095 0.000000
1 210 0.000333 1543148160.000000
1 3 0.000005 0.000000
1 253 0.000377 23269486.000000
2 129 0.000246 0.000000
1 192 0.000319 14003504939008.000000
1 93 0.000161 0.000000
1 36 0.000058 17817960.000000
1 189 0.000286 100637886906368.000000
2 3 0.000009 0.000000
1 114 0.000177 0.000000
2 67 0.000113 9685049344.000000
2 25 0.000037 0.000000
1 5 0.000015 0.000000
1 109 0.000188 0.000000
2 160 0.000343 17712695310548992.000000
2 19 0.000040 0.000000
2 29 0.000070 15237924.000000
2 11 0.000032 0.000000
2 166 0.000274 124317007872.000000
2 175 0.000364 0.001021
1 58 0.000092 688511443271680.000000
1 74 0.000115 0.000000
2 432 0.000619 320953250943598592.000000
2 387 0.000694 0.000004
1 158 0.000309 16689907904806912.000000
2 257 0.000378 6281939426213888.000000
1 35 0.000100 0.000000
4 1 0.000003 0.000000
1 290 0.000573 97242139800371200.000000
2 39 0.000078 1369596362752.000000
1 868 0.001853 0.000000
1 67 0.000108 11571.630859
2 41 0.000082 11570.686523
1 43 0.000071 8560812566249472.000000
2 62 0.000092 525755678720.000000
1 10 0.000021 0.000000
2 91 0.000189 0.000000
1 81 0.000142 4300165632.000000
1 108 0.000166 1641.405884
1 188 0.000306 0.000000
1 549 0.001096 36194312173649920.000000
2 31 0.000053 0.000026
1 285 0.000463 129783921591189504.000000
3 79 0.000143 116042534504890368.000000
2 35 0.000103 0.000000
1 39 0.000062 0.008348
2 15 0.000028 0.000000
1 236 0.000412 1198920960.000000
1 399 0.000598 0.033556
1 404 0.000604 0.033556
1 1908 0.004775 97996507856240640.000000
1 6531 0.009431 0.000000
2 24 0.000069 0.000000
2 177 0.000275 3969150540054528.000000
2 33 0.000056 1632.337036
1 241 0.000360 7346576687104.000000
2 1 0.000003 0.000000
1 141 0.000218 41033211576320.000000
2 13 0.000023 0.000000
2 526 0.001363 34615775232.000000
1 268 0.000510 147447172164485120.000000
1 169 0.000334 628053067694080.000000
2 14 0.000025 0.000000
1 198 0.000301 1256256896.000000
1 206 0.000299 179684033691648.000000
1 10 0.000029 0.003612
1 385 0.000624 249764803667558400.000000
2 1 0.000003 0.000000
2 1 0.000003 0.000000
2 1 0.000003 0.000000
2 12 0.000017 0.000000
1 29 0.000041 16289121957838848.000000
1 332 0.000506 134321000153088.000000
1 2 0.000006 0.000000
2 10 0.000029 0.000000
1 50 0.000153 0.000399
2 4 0.000008 0.000000
1 12 0.000027 5866672619520.000000
2 1 0.000003 0.000000
1 25 0.000051 0.000000
