1 11 0 100125 5099799363
2 696 2276673542 565337 3398052653
3 49925 3805571223 1161624 409719815
4 43343 2108606747 3334984 207058385
5 84600 242968621 5239125 154604735
6 141788 140423314 7057131 95021597
7 161068 94828862 8179117 55788338
8 178227 67948392 9181801 35951915
9 210582 59996384 7529269 21147009
10 226873 49342081 4056716 12948872
11 237987 42313396 2400913 6835810
12 241763 36694132 2300526 4354784
13 244810 31172868 2219577 2165959
14 252357 28212719 1954972 1215927
15 267787 26004569 1535126 748763
16 289613 23024952 1313654 863753
17 315754 20977964 616856 282855
18 334184 19816322 165 54
19 356272 18420657 0 0
