1 2 0 3309095 3233723667
2 3766 1167428169 6148801 717400244
3 17778 1176932505 7812272 216990883
4 21644 1085570577 15663762 164330107
5 28429 173764990 15646828 50937960
6 36532 70456867 172199 252759
7 49703 59226165 1199 6752
8 65547 34731005 1554 1439
9 73358 30890596 5 3
10 93417 30679202 1 0
11 125380 33696941 0 0
12 163928 33064796 0 0
13 211544 28541780 0 0
14 257198 28895691 0 0
15 324416 26316716 0 0
16 388876 25395139 0 0
17 449841 24958640 0 0
18 524422 18705612 0 0
19 574892 17785254 0 0
