1 30 0 5173889 6620114410
2 5006 2664166023 7929351 845880255
3 60501 3172192458 8775249 244647056
4 91805 982971854 7966945 54922467
5 132859 259442853 4961214 24944557
6 174359 130332424 3540139 10386856
7 222334 95590771 2618727 5479106
8 258401 70624587 1729669 2850544
9 298246 49817926 963030 1702663
10 354253 44994095 627212 847185
11 392255 33691855 475626 619507
12 421431 27292961 79299 87377
13 447280 21946371 24895 19009
14 468912 20979178 7064 5111
15 489388 16474422 2859 1379
16 501305 14835564 1379 1047
17 522519 13230756 96 46
18 560690 13228160 3 0
19 592746 10618554 4 0
